年度,題號,分類,題幹,選項
112,1,字詞理解,Look at the picture. The man is holding a _____ of grapes in his hands.,(A) bag (B) basket (C) bowl (D) box
112,2,字詞理解,Dennis enjoys _____ in public. He is proud of his beautiful voice.,(A) dancing (B) drawing (C) shopping (D) singing
112,3,字詞理解,"Mrs. Johnson can’t hear very well. If you need to talk to her, you must _____ .",(A) explain (B) hurry (C) listen (D) shout
112,5,字詞理解,"I tried on these shoes in several different _____, and I thought the white pair looked best on me.",(A) colors (B) prices (C) shapes (D) sizes
112,7,字詞理解,Mr. Lee has worked in the same store for ten years; he’s never thought about _____ his job.,(A) changing (B) finding (C) remembering (D) starting
112,8,字詞理解,I didn’t take the bus today because it was _____ . All the seats were taken and a lot of students were standing.,(A) dirty (B) fast (C) full (D) wrong
112,9,字詞理解,"Don’t go away when you’re cooking, _____ the food might burn.",(A) but (B) if (C) or (D) so
112,10,字詞理解,"Jerry wanted to know _____ he was kicked off the soccer team, but no one gave him a good reason.",(A) where (B) when (C) whether (D) why
112,11,字詞理解,"Jenny is already forty, doesn’t have a job and often makes trouble for her parents. To them, she is really a(n) _____ .",(A) daughter (B) example (C) gift (D) headache
112,15,字詞理解,The _____ of this shop was so bad; I never got any answer after I emailed them my questions.,(A) item (B) business (C) price (D) service
112,16,字詞理解,"It’s not easy to see those islands clearly from here on sunny days, and it’s even less _____ to see them on cloudy days.",(A) difficult (B) lucky (C) possible (D) special
112,17,字詞理解,"Do you remember the CD I was looking for for months? I _____ found it in a small shop. Look, here it is!",(A) almost (B) even (C) finally (D) still
112,18,字詞理解,Business at Jane’s shop has not been good these days. And the new supermarket across the street only makes things _____ .,(A) easier (B) worse (C) more boring (D) more convenient
112,21,字詞理解,Frank Kane is so good in the movie that many people _____ he will win the best actor prize.,(A) expect (B) forget (C) notice (D) plan
111,1,字詞理解,Look at the picture. The woman is putting _____ on the cake.,(A) candles (B) forks (C) plates (D) strawberries
111,2,字詞理解,"The movie starts at two o’clock, _____ let’s meet at the theater at one forty-five.",(A) so (B) or (C) if (D) because
111,3,字詞理解,Peter is afraid of the dark. He even leaves the _____ on when sleeping.,(A) computer (B) fans (C) lights (D) music
111,4,字詞理解,Pam is a _____ baseball player; she has more fans than any other player on her team.,(A) boring (B) heavy (C) popular (D) rich
111,5,字詞理解,"I did not do my homework, so my teacher said I _____ stay after school to finish it.",(A) failed to (B) had to (C) hoped to (D) used to
111,6,字詞理解,Kevin has only enough money for the bag or the shoes. That is a hard _____ to make because he likes them both.,(A) choice (B) gift (C) rule (D) trick
111,7,字詞理解,It was _____ for us to answer the math question because we’ve done the same kind of questions many times.,(A) common (B) easy (C) safe (D) special
111,9,字詞理解,Don’t let the children swim in the river. We don’t know how _____ it is. It could be dangerous.,(A) deep (B) far (C) long (D) thick
111,12,字詞理解,"We won’t see the sun even after the typhoon leaves, because the news said that heavier rain will soon _____.",(A) catch (B) follow (C) move (D) stop
111,14,字詞理解,You were _____ not to lend Amy money. She never gives back what she borrows.,(A) crazy (B) helpful (C) wise (D) wrong
111,20,字詞理解,"While reading this story, Brad saw the word “trolling” and didn’t know what it meant. He found several meanings of the word in a dictionary. Which one should Brad choose?","(A) To celebrate in song. (B) To make someone or something move around. (C) To pull a fishing line through the water, often from a boat. (D) To write something on the Internet to hurt someone or make them angry."
110,1,字詞理解,"In the picture, the boy is _____ the old man.",(A) smiling at (B) dancing with (C) cheering for (D) bowing to
110,3,字詞理解,Jill is _____ that the city park is closed for the music festival because now she can’t jog there.,(A) excited (B) proud (C) scared (D) unhappy
110,4,字詞理解,"Steven wants to be a _____, because he loves to watch people enjoy the food he prepares.",(A) cook (B) doctor (C) driver (D) farmer
110,8,字詞理解,Edward had worked as a computer engineer for ten years. This _____ helped him a lot when he started his own computer shop.,(A) chance (B) experience (C) hobby (D) knowledge
110,10,字詞理解,"Jimmy would not get up for breakfast, _____ his dad had already tried to pull him from his bed several times.",(A) although (B) because (C) if (D) until
110,11,字詞理解,"Duncan spent all his money trying to _____ the bookstore his mom left him. Sadly, the business never got better, and he had to close it in the end.",(A) build (B) buy (C) save (D) start
110,13,字詞理解,Beverly eats lots of snacks _____ meals. That’s why she is often too full to eat anything at mealtimes.,(A) after (B) between (C) during (D) from
109,1,字詞理解,Look at the picture. The man is holding one of the _____.,(A) bowls (B) glasses (C) plates (D) spoons
109,2,字詞理解,My mom puts the _____ on to keep her hands away from water when she washes the dishes.,(A) gloves (B) jacket (C) ring (D) socks
109,3,字詞理解,Can you _____ your feet a little off the floor? I want to see if my keys are under the sofa.,(A) check (B) kick (C) raise (D) show
109,4,字詞理解,_____ of my sisters are older than I am. I’m the youngest of the three children in my family.,(A) Both (B) Few (C) Most (D) Some
109,5,字詞理解,The beach near our town is a very _____ place. Every summer at least one kid dies there in the water.,(A) dangerous (B) exciting (C) lonely (D) popular
109,8,字詞理解,It’s great that we can buy train tickets over the phone without going out. It _____ us a lot of time.,(A) lends (B) prepares (C) saves (D) takes
109,10,字詞理解,"Jill: Have you decided _____ you will celebrate your 30th birthday? Sue: Yeah, I’m going to have a big barbecue party.",(A) how (B) where (C) what (D) when
109,13,字詞理解,"Ms. Johnson has been taking phone calls since she entered the office this morning. Just when she thought she could finally leave work, _____ call came in.",(A) another (B) each (C) the next (D) the other
108,1,字詞理解,Look at the picture. The mother duck is _____ the baby ducks across the street.,(A) carrying (B) leading (C) pushing (D) watching
108,2,字詞理解,"Ms. Liu usually gives us a lot of homework, _____ she didn’t give us any today.",(A) but (B) if (C) or (D) so
108,5,字詞理解,Diane had a bad cold last week. She is still too _____ to go mountain climbing with you.,(A) busy (B) short (C) weak (D) young
108,7,字詞理解,Last night a garbage truck hit a tree and turned over. Now the street is _____ with lots of garbage.,(A) dark (B) dirty (C) heavy (D) poor
108,9,字詞理解,Joyce tells her brother everything. She never _____ anything from him.,(A) covers (B) believes (C) hides (D) takes
108,10,字詞理解,Ben always uses his birthday as a(n) _____ to ask Dad to buy him something expensive.,(A) action (B) excuse (C) prize (D) rule
108,12,字詞理解,Everyone in the class enjoys playing chess _____ Bill; he thinks the game is boring.,(A) except (B) for (C) like (D) of
108,14,字詞理解,"Tom’s voice _____ when he talks about his neighbors. He speaks faster, his face becomes redder and you can almost see fire in his eyes.",(A) appears (B) drops (C) grows (D) rises
108,15,字詞理解,_____ other waiters in the restaurant have worked here longer than Clark; only Lois and Lana started working here before him.,(A) All (B) Most (C) Some (D) Few
107,1,字詞理解,Look at the picture. The girl is ______ the clothes.,(A) making (B) packing (C) showing (D) washing
107,2,字詞理解,The ______ is so strong today that my hair keeps blowing in the air.,(A) rain (B) snow (C) sun (D) wind
107,5,字詞理解,You need not only good luck but also hard work to become a ______ baseball player.,(A) young (B) successful (C) happy (D) friendly
107,6,字詞理解,The woman who lives next door to Ken is a ______ to him. They have never met and he doesn’t even know her name.,(A) daughter (B) friend (C) stranger (D) teacher
107,7,字詞理解,"With the new bus line, it is much more ______ for Fanny to go to school. It saves her a lot of time now.",(A) useful (B) possible (C) interesting (D) convenient
107,9,字詞理解,Alice: Do you know ______ Grandma is going to visit us? Willy: It’s next week. She told me on the phone. And we’ll take her to the national park.,(A) where (B) when (C) whether (D) why
107,12,字詞理解,The factory has been throwing trash into the river for years. Now ______ must be taken to stop this.,(A) action (B) chances (C) exercise (D) notes
107,13,字詞理解,The beach party tonight ______ the end of our summer vacation. Tomorrow we are all going back home and getting ready for school.,(A) changes (B) marks (C) passes (D) saves
107,14,字詞理解,"Anyone who reads Loren’s business plan will quickly see some serious problems in it, or ______ feel something is not right.",(A) at least (B) even (C) in fact (D) still
107,15,字詞理解,"I’ve wanted to read The Diary of a Young Girl for months, ______ today I finally borrowed the book from the library.",(A) and (B) since (C) so (D) until